,index,feedername,complete,in_progress,total
0,1736,KSR07VB01,19,0,19
1,0,KSR01VB01,0,0,0
2,1832,TKB04VB01,51,214,265
3,1833,TKB05VB01,125,144,269
4,1840,UAA05VB01,2,0,2
5,279,WAM01VB01,0,6,6
6,1470,BNA02VB01,2,0,2
7,1819,SBA02VB01,11,0,11
8,0,TKB08VB01,0,0,0
9,0,MRA09VB01,0,0,0
10,0,LOK02VB01,0,0,0
11,1773,MRA05VB01,21,23,44
12,1846,WIR02VB01,3,0,3
13,1755,LBB03VB01,2,1,3
14,1844,UAA10VB01,7,1,8
15,1762,LOA05VB01,0,5,5
16,0,CON05VB01,0,0,0
17,0,LAA05VB01,0,0,0
18,0,BSH06VB01,0,0,0
19,1782,NCH06VB01,8,0,8
20,3198,CNA10VB01,24,14,38
21,0,TCA05VB01,0,0,0
22,0,SZA02VB01,0,0,0
23,1758,LBB07VB01,1,0,1
24,0,IBU02VB01,0,0,0
25,0,HKA10VB01,0,0,0
26,0,NCH08VB01,0,0,0
27,0,PEA06VB01,0,0,0
28,2301,CYA02VB01,0,1,1
29,1731,KBG03VB01,3,0,3
30,0,CDA01VB01,0,0,0
31,1779,NCH03VB01,20,26,46
32,1767,LOK03VB01,2,0,2
33,0,BQA10VB01,0,0,0
34,1795,NOB01VB01,20,0,20
35,1838,UAA01VB01,6,4,10
36,380,BPI05VB01,2,0,2
37,1704,CDB01VB01,16,0,16
38,1822,SBA05VB01,8,33,41
39,1784,NSA03VB01,20,9,29
40,0,WIR05VB01,0,0,0
41,0,CON04VB01,0,0,0
42,1805,PRI06VB01,5,0,5
43,1817,PXA10VB01,11,0,11
44,1749,LBA03VB01,1,0,1
45,1752,LBA08VB01,1,0,1
46,1828,TCA01VB01,8,0,8
47,0,WIR06VB01,0,0,0
48,1810,PXA01VB01,1,1,2
49,1843,UAA09VB01,0,1,1
50,1698,CDA04VB01,24,27,51
51,1700,CDA06VB01,43,18,61
52,1834,TKB07VB01,13,5,18
53,1753,LBB01VB01,2,0,2
54,1745,LAA06VB01,14,59,73
55,1813,PXA04VB01,0,1,1
56,1739,KSR10VB01,15,0,15
57,1728,HKA04VB01,0,5,5
58,1693,BSH01VB01,8,0,8
59,0,NSA05VB01,0,0,0
60,0,CDB05VB01,0,0,0
61,0,CNA04VB01,0,0,0
62,1694,BSH02VB01,1,0,1
63,1717,CNA05VB01,18,9,27
64,0,MRA10VB01,0,0,0
65,0,CDB04VB01,0,0,0
66,873,DAA08VB01,1,1,2
67,1726,HKA01VB01,1,0,1
68,1733,KSR04VB01,17,0,17
69,0,BSH05VB01,0,0,0
70,0,CON01VB01,0,0,0
71,0,TCA03VB01,0,0,0
72,1766,LOK01VB01,4,2,6
73,0,NSB05VB01,0,0,0
74,0,UAA03VB01,0,0,0
75,0,NSB06VB01,0,0,0
76,1471,BNA04VB01,17,2,19
77,124,PJA02VB01,0,8,8
78,0,TCA06VB01,0,0,0
79,0,NOB04VB01,0,0,0
80,0,HKA06VB01,0,0,0
81,1796,NOB02VB01,65,9,74
82,1742,LAA02VB01,5,15,20
83,0,BSH09VB01,0,0,0
84,1756,LBB04VB01,2,11,13
85,1719,CNA07VB01,3,0,3
86,1825,SBA08VB01,7,0,7
87,0,TKB06VB01,0,0,0
88,0,NSB04VB01,0,0,0
89,1746,LAA08VB01,0,4,4
90,1841,UAA06VB01,14,0,14
91,0,NSB07VB01,0,0,0
92,0,TPH01VB01,0,0,0
93,0,ATB01VB01,0,0,0
94,0,LAA07VB01,0,0,0
95,1789,NSB03VB01,1,0,1
96,125,PJA03VB01,0,6,6
97,1721,CNA09VB01,12,1,13
98,1748,LBA01VB01,2,0,2
99,1830,TKB02VB01,44,2,46
100,1811,PXA02VB01,5,0,5
101,1644,SZA06VB01,1,0,1
102,0,BSH08VB01,0,0,0
103,0,LBC02VB01,0,0,0
104,1823,SBA06VB01,19,0,19
105,1848,WIR04VB01,4,0,4
106,0,PRI05VB01,0,0,0
107,0,NCH10VB01,0,0,0
108,1781,NCH05VB01,6,0,6
109,0,LBA09VB01,0,0,0
110,1774,MRA06VB01,21,3,24
111,0,NSA01VB01,0,0,0
112,1760,LOA03VB01,1,1,2
113,0,CHA09VB01,0,0,0
114,1727,HKA02VB01,0,46,46
115,0,UAA07VB01,0,0,0
116,1785,NSA04VB01,13,3,16
117,0,NSU03VB01,0,0,0
118,1730,KBG02VB01,1,0,1
119,0,LOA01VB01,0,0,0
120,0,ATB06VB01,0,0,0
121,0,MRA08VB01,0,0,0
122,1797,NOB03VB01,6,0,6
123,1763,LOA06VB01,0,8,8
124,1824,SBA07VB01,7,0,7
125,1780,NCH04VB01,13,0,13
126,0,LAA01VB01,0,0,0
127,0,BQA06VB01,0,0,0
128,1815,PXA06VB01,0,1,1
129,1818,SBA01VB01,6,0,6
130,0,HKA03VB01,0,0,0
131,1706,CDB03VB01,2,0,2
132,0,BSH04VB01,0,0,0
133,0,NSA09VB01,0,0,0
134,1754,LBB02VB01,1,2,3
135,0,PEA07VB01,0,0,0
136,0,WIR07VB01,0,0,0
137,0,BQA09VB01,0,0,0
138,1597,PSN03VB01,6,3,9
139,0,LBA06VB01,0,0,0
140,0,PEA03VB01,0,0,0
141,1845,WIR01VB01,2,0,2
142,0,LBB08VB01,0,0,0
143,1751,LBA05VB01,1,0,1
144,0,PEA01VB01,0,0,0
145,3407,HKA08VB01,22,5,27
146,1826,SBA09VB01,31,0,31
147,1768,LOK04VB01,4,0,4
148,1750,LBA04VB01,3,0,3
149,0,LBC03VB01,0,0,0
150,0,NSU01VB01,0,0,0
151,1720,CNA08VB01,54,2,56
152,0,PXA07VB01,0,0,0
153,1764,LOA07VB01,0,0,0
154,1792,NSU02VB01,29,7,36
155,1787,NSA11VB01,11,5,16
156,1847,WIR03VB01,3,0,3
157,1729,KBG01VB01,16,0,16
158,0,HKA05VB01,0,0,0
159,0,LBA02VB01,0,0,0
160,1735,KSR06VB01,21,0,21
161,3318,BNA01VB01,4,0,4
162,0,NCH02VB01,0,0,0
163,0,LAA10VB01,0,0,0
164,0,PKE06VB01,0,0,0
165,1705,CDB02VB01,10,0,10
166,0,PEA05VB01,0,0,0
167,1738,KSR09VB01,13,1,14
168,0,BQA08VB01,0,0,0
169,1804,PRI02VB01,1,0,1
170,3245,CDA09VB01,86,5,91
171,1831,TKB03VB01,23,7,30
172,1842,UAA08VB01,5,0,5
173,130,PJA08VB01,0,3,3
174,1814,PXA05VB01,17,15,32
175,0,PRI01VB01,0,0,0
176,0,LBC05VB01,0,0,0
177,1747,LAA09VB01,14,25,39
178,0,TCA08VB01,0,0,0
179,1812,PXA03VB01,1,0,1
180,0,BQA07VB01,0,0,0
181,1820,SBA03VB01,11,3,14
182,0,WAM07VB01,0,0,0
183,1737,KSR08VB01,4,0,4
184,1701,CDA07VB01,27,0,27
185,1697,CDA03VB01,22,2,24
186,1829,TKB01VB01,14,11,25
187,3415,HKA07VB01,0,108,108
188,1790,NSB08VB01,31,3,34
189,0,WIR08VB01,0,0,0
190,1759,LOA02VB01,1,21,22
191,0,WAM02VB01,0,0,0
192,1802,PEA02VB01,4,26,30
193,0,NSB09VB01,0,0,0
194,0,HKA09VB01,0,0,0
195,0,PEA04VB01,0,0,0
196,1757,LBB05VB01,2,3,5
197,0,TCA02VB01,0,0,0
198,0,PRI07VB01,0,0,0
199,0,UAA04VB01,0,0,0
200,0,LOA08VB01,0,0,0
201,0,IBU01VB01,0,0,0
202,0,NCH07VB01,0,0,0
203,1771,MRA02VB01,19,6,25
204,0,TCA04VB01,0,0,0
205,1696,CDA02VB01,0,3,3
206,1743,LAA03VB01,0,97,97
207,0,CON03VB01,0,0,0
208,1793,NSU04VB01,27,2,29
209,1772,MRA04VB01,33,1,34
210,0,NSA10VB01,0,0,0
211,0,LBA07VB01,0,0,0
212,0,NSA07VB01,0,0,0
213,0,IBU03VB01,0,0,0
214,0,BSH10VB01,0,0,0
215,1775,MRA07VB01,1,0,1
216,0,MRA03VB01,0,0,0
217,0,NSA02VB01,0,0,0
218,129,PJA07VB01,0,3,3
219,1778,NCH01VB01,24,1,25
220,0,CON02VB01,0,0,0
221,0,PXA08VB01,0,0,0
222,0,NSA08VB01,0,0,0
223,0,PRI08VB01,0,0,0
224,1722,IBU04VB01,2,0,2
225,1821,SBA04VB01,15,0,15
226,0,NSU05VB01,0,0,0
227,1695,BSH03VB01,1,0,1
228,1734,KSR05VB01,16,0,16
229,1788,NSB02VB01,15,2,17
230,1770,MRA01VB01,169,6,175
231,0,LBC01VB01,0,0,0
232,0,NSB01VB01,0,0,0
233,0,PRI04VB01,0,0,0
234,1699,CDA05VB01,0,5,5
235,1769,LOK05VB01,21,0,21
236,0,IBU05VB01,0,0,0
237,1791,NSB10VB01,58,3,61
238,1473,BNA07VB01,3,0,3
239,1718,CNA06VB01,38,0,38
240,1702,CDA08VB01,0,7,7
241,1761,LOA04VB01,0,2,2
242,1646,SZA08VB01,7,7,14
243,1744,LAA04VB01,5,3,8
244,1786,NSA06VB01,6,9,15
245,0,CDB08VB01,0,0,0
246,1732,KSR03VB01,32,0,32
247,0,NOB05VB01,0,0,0
248,1803,PEA08VB01,20,15,35
249,1716,CNA03VB01,52,6,58
250,0,KSR02VB01,0,0,0
251,0,TCA07VB01,0,0,0
252,1708,CDB07VB01,34,0,34
253,0,LBB06VB01,0,0,0
254,1783,NCH09VB01,10,8,18
