,feeder,equipment,type
55,NCH09,NCH09C-01,SCB
56,NCH09,NCH09C-02,SCB
57,LBA07,99999C-99,SCB
58,UAA09,UAA09C-01,SCB
59,WIR03,CDA03C-01,SCB
60,TKB06,TKB05C-01,SCB
61,KSR09,KSR08C-01,SCB
62,KSR09,KSR09C-01,SCB
63,TKB08,TKB08C-01,SCB
64,CNA03,CNA03C-01,SCB
65,CNA03,CNA03C-02,SCB
66,CNA03,CNA99C-99,SCB
67,UAA10,UAA10C-01,SCB
68,CDA04,CDA04C-01,SCB
69,BSH03,BSH03C-01,SCB
70,BSH03,BSH03C-02,SCB
71,NSA01,NSA01C-01,SCB
72,CDA09,CDA05C-01,SCB
73,NSB10,NSB04C-02,SCB
74,NSB10,NSB10C-02,SCB
75,NSB10,NSB10C-01,SCB
76,LAA08,LAA08C-01,SCB
77,KSR07,KSR07C-01,SCB
78,KSR07,KSR04C-02,SCB
79,KSR07,KSR07C-02,SCB
80,CNA01,99999C-99,SCB
81,KBG04,99999C-99,SCB
82,NSB08,NSB08C-01,SCB
83,NSB08,NSB08C-02,SCB
84,NSB03,NSB03C-01,SCB
85,NSA10,NSA10C-01,SCB
86,LAA04,LAA04C-01,SCB
87,SBA08,SBA08C-01,SCB
88,LBA04,99999C-99,SCB
89,LBA04,LBA07C-01,SCB
90,LBB04,99999C-99,SCB
91,LBB04,99999C-99,SCB
92,NCH03,NCH03C-01,SCB
93,CDB07,KSR10C-01,SCB
94,MRA01,MRA01C-01,SCB
95,KBG01,KBG01C-01,SCB
96,KBG01,CKB1 C-02,SCB
97,SBA03,SBA03C-01,SCB
98,LOA01,LOA01C-01,SCB
99,LOA07,LOA07C-01,SCB
100,PJA07,PJA07C-01,SCB
101,LBA03,99999C-99,SCB
102,LBA03,LBA09C-01,SCB
103,LBA03,99999C-99,SCB
104,MRA06,MRA06C-01,SCB
105,NSB05,NSB05C-02,SCB
106,NSB05,NSB05C-01,SCB
107,NSU04,99999C-99,SCB
108,NSU04,NSA02C-02,SCB
109,NOB01,NOB01C-02,SCB
110,NSA03,NSA03C-01,SCB
111,NSA03,NSA03C-02,SCB
112,NSA05,NSA05C-02,SCB
113,NSA05,NSA05C-01,SCB
114,NSB01,NSB01C-01,SCB
115,LOK01,LOK01C-01,SCB
116,LOK01,LOK01C-02,SCB
117,KBG03,KBG03C-01,SCB
118,BNA01,BNA02C-01,SCB
119,CON04,PEA04C-01,SCB
120,CON04,PEA04C-02,SCB
121,MRA05,MRA05C-02,SCB
122,MRA05,MRA05C-01,SCB
123,LAA06,LAA06C-02,SCB
124,LAA06,LAA06C-01,SCB
125,PXA05,PXA05C-01,SCB
126,CNA05,CNA58C-01,SCB
127,CNA05,CNA05C-02,SCB
128,TKB05,TKB05C-02,SCB
129,TKB05,TKB05C-01,SCB
130,PXA09,PXA09C-10,SCB
131,NSA07,NSA07C-03,SCB
132,NSA07,NSA07C-02,SCB
133,NSA07,NSA07C-01,SCB
134,NOB04,NOB04C-02,SCB
135,NOB04,NOB04C-01,SCB
136,PRI06,SBA10C-01,SCB
137,LAA05,LAA05C-01,SCB
138,CDB02,CDA02C-01,SCB
139,CDB02,CDB02C-01,SCB
140,CDA03,CDA09C-01,SCB
141,CDA03,CDA09C-03,SCB
142,CDA03,CDA03C-02,SCB
143,NCH01,NCH01C-01,SCB
144,NCH01,NCH01C-03,SCB
145,NCH01,NCH01C-02,SCB
146,LOA05,LOA05C-01,SCB
147,PEA03,PEA03C-01,SCB
148,PXA02,99999C-99,SCB
149,PXA02,99999C-99,SCB
150,CNA04,CNA04C-01,SCB
151,PXA01,PXA01C-01,SCB
152,PXA01,99999C-99,SCB
153,PXA01,PJA03C-01,SCB
154,MRA04,MRA04C-02,SCB
155,MRA04,MRA04C-01,SCB
156,MRA04,CNA08C-01,SCB
157,TCA08,TCA08C-01,SCB
158,TKB03,TKB07C-01,SCB
159,TKB03,TKB40C-03,SCB
160,TKB03,TKB07C-03,SCB
161,TKB03,TKB07C-04,SCB
162,TKB03,TKB03C-02,SCB
163,TKB03,TKB07C-02,SCB
164,NSB06,NSB06C-01,SCB
165,NSB06,NSB06C-04,SCB
166,NSB06,NSB06C-03,SCB
167,NSB06,NSB06C-02,SCB
168,WIR02,WIR02C-01,SCB
169,LBC05,99999C-00,SCB
170,TCA04,NSB02C-03,SCB
171,LOA06,LOA06C-01,SCB
172,KBG02,KBG02C-01,SCB
173,WIR01,WIR01C-01,SCB
174,WIR01,WIR01C-02,SCB
175,CNA08,CNA08C-02,SCB
176,PXA03,99999C-99,SCB
177,PXA03,99999C-99,SCB
178,PXA03,PXA03C-01,SCB
179,WIR04,CDA05C-03,SCB
180,WIR04,CDA05C-02,SCB
181,WIR04,WIR04C-03,SCB
182,KSR04,KSR04C-01,SCB
183,KSR04,KSR04C-03,SCB
184,LBB05,LBB05C-01,SCB
185,IBU05,SBA09C-01,SCB
186,LBC03,99999C-99,SCB
187,MRA07,MRA07C-01,SCB
188,CNA06,99999C-99,SCB
189,CDB01,99999C-99,SCB
190,CDB01,KSR03C-01,SCB
191,HKA01,HKA01C-01,SCB
192,HKA01,HKA01C-02,SCB
193,PXA06,PXA06C-01,SCB
194,PXA06,PXA06C-02,SCB
195,CON02,BSH04C-01,SCB
196,LBA09,LBB03VB-01,CB
197,LBA09,LBA09VR-01,CB
198,LAA03,LAA03VB-01,CB
199,NSB04,NSB04VB-01,CB
200,LBB01,LBB01VB-01,CB
201,MRA10,MRA10BR-01,CB
202,LBB08,LBB08VB-01,CB
203,SBA06,SBA06VR-01,CB
204,NCC01,NCC01VB-01,CB
205,IBU04,IBU04BR-01,CB
206,CDA07,CDA07VB-01,CB
207,HKA05,HKA05VB-01,CB
208,PEA05,PEA05VB-01,CB
209,CDB09,CDB09VB-01,CB
210,LBC02,LBC02VB-01,CB
211,PRI04,PRI04VB-01,CB
212,NSA02,NSA02VB-01,CB
213,CDB05,CDB05VB-01,CB
214,IBU03,IBU03BR-01,CB
215,NCH10,NCH10VB-01,CB
216,PEA01,PEA01VB-01,CB
217,LBA05,LBA05VR-01,CB
218,CON03,CON03VB-01,CB
219,NOB03,NOB03VB-01,CB
220,LAA09,LAA09VB-01,CB
221,KSR02,KSR02VB-01,CB
222,BSH04,BSH04VB-01,CB
223,BSH04,CON02VB-01,CB
224,SBA05,SBA05VR-01,CB
225,PXA08,PXA08VB-01,CB
226,TKB02,TKB02VB-01,CB
227,CDB06,CDB06VB-01,CB
228,BQA09,BQA09VB-01,CB
229,LAA02,LAA02VB-01,CB
230,NSB02,NSB02CVB-01,CB
231,NSB02,NSB02VB-01,CB
232,PEA02,PEA02VB-01,CB
233,CHA09,CHA09VB-02,CB
234,CHA09,CHA09VB-00,CB
235,LAA01,LAA01VB-01,CB
236,PXA07,PXA07VB-01,CB
237,UAA02,UAA02VB-01,CB
238,LBB02,LBB02VB-01,CB
239,LOA08,LOA08VB-01,CB
240,NSB09,NSB09VB-01,CB
241,PEA04,PEA04VB-01,CB
242,NSB07,NSB07VB-01,CB
243,BSH05,BSH05VB-01,CB
244,HKA08,HKA08VB-01,CB
245,PRI03,PRI03VB-01,CB
246,TCA02,TCA02VB-01,CB
247,LOK03,LOK03VB-01,CB
248,NSA08,NSA08VB-01,CB
249,NCH04,NCH04VB-01,CB
250,PJA02,PJA02VB-01,CB
251,LOA02,LOA02VB-01,CB
252,ATB06,ATB06VB-01,CB
253,ATB06,ATB06VB-03,CB
254,ATB06,ATB06VB-02,CB
255,ATB06,ATB06VB-04,CB
256,ATB06,ATB06VB-00,CB
257,PSN03,PSN03VR-101,CB
258,CNA02,CNA02VB-01,CB
259,KSR06,KSR06VB-01,CB
260,PRI07,PRI07VB-01,CB
261,BSH02,BSH02VB-01,CB
262,LOA04,LOA04VB-01,CB
263,LAA10,LAA10VB-01,CB
264,NSA06,NSA06VB-01,CB
265,CDA08,CDA08VB-01,CB
266,CDB08,CDB08VB-01,CB
267,NCH02,NCH02VB-01,CB
268,BQA08,BQA08VB-01,CB
269,CDA02,CDA02VB-01,CB
270,BSH09,BSH09VB-01,CB
271,UAA01,UAA01VB-01,CB
272,BNA04,BNA04VB-02,CB
273,BNA04,BNA04VB-01,CB
274,NSU01,NSU01VB-01,CB
275,BSH06,BSH06VB-01,CB
276,TKB04,TKB04VB-01,CB
277,NCH09,NCH09VB-01,CB
278,LBA07,LBA07VR-01,CB
279,BSH07,BSH07VB-01,CB
280,UAA09,UAA09VB-01,CB
281,NOB05,NOB05VB-01,CB
282,LBA01,LBA01VR-01,CB
283,HKA02,HKA02VB-01,CB
284,NSU05,NSU05VB-01,CB
285,WIR03,WIR03VB-01,CB
286,TKB06,TKB06VB-01,CB
287,UAA05,UAA05VB-01,CB
288,UAA05,UAA08VB-01,CB
289,KSR09,KSR09VB-01,CB
290,UAA06,UAA06VB-01,CB
291,TKB08,TKB08VB-01,CB
292,CON05,CON05VB-01,CB
293,CNA03,CNA03VB-01,CB
294,WAM07,WAM07VB-02,CB
295,IBU01,IBU01BR-01,CB
296,UAA10,UAA10VB-01,CB
297,CDA04,CDA04VB-01,CB
298,BSH03,BSH03VB-01,CB
299,NSA01,NSA01VB-01,CB
300,MRA03,MRA03VB-01,CB
301,SBA01,SBA01VR-01,CB
302,CDA09,CDA09VB-01,CB
303,KSR01,KSR01VB-01,CB
304,TCA07,TCA07VB-01,CB
305,NSB10,NSB10VB-01,CB
306,LAA08,LAA08VB-01,CB
307,LAA07,LAA07VB-01,CB
308,NCH06,NCH06VB-01,CB
309,CNA09,CNA09VB-01,CB
310,KSR07,KSR07VB-01,CB
311,SZA02,SZA02VB-04,CB
312,CNA01,CNA01VB-01,CB
313,SBA09,SBA09VR-01,CB
314,KBG04,KBG04VB-01,CB
315,NSB08,NSB08VB-01,CB
316,MRA09,MRA09BR-01,CB
317,NSB03,NSB03VB-01,CB
318,WIR06,WIR06VB-01,CB
319,SZA08,SZA08VB-01,CB
320,SZA08,SZA08VB-02,CB
321,NSA10,NSA10VB-01,CB
322,BSH01,BSH01VB-01,CB
323,BNA07,BNA07-01,CB
324,LAA04,LAA04VB-01,CB
325,SBA08,SBA08VR-01,CB
326,LBA04,LBA04VR-01,CB
327,LBB04,LBB04VB-01,CB
328,MRA08,MRA08VB-01,CB
329,SBA07,SBA07VR-01,CB
330,LBA02,LBA02VR-01,CB
331,NCH03,NCH03VB-01,CB
332,TCA06,TCA06VB-01,CB
333,CDB07,CDB07VB-01,CB
334,MRA01,MRA01VB-01,CB
335,KBG01,KBG01VB-01,CB
336,SBA03,SBA03VR-01,CB
337,LOA01,LOA01VB-01,CB
338,UAA03,UAA03VB-01,CB
339,NCH08,NCH08VB-01,CB
340,LOA07,LOA07VB-01,CB
341,PJA07,PJA07VB-01,CB
342,WIR08,WIR08VB-01,CB
343,CON01,CON01VB-01,CB
344,LBA03,T-LBA03VB-01,CB
345,LBA03,LBA03VR-01,CB
346,LBA03,LBA03VB-01,CB
347,MRA06,MRA06VB-01,CB
348,LOA03,LOA03VB-01,CB
349,SZA04,SZA04VB-01,CB
350,SBA04,SBA04VR-01,CB
351,BQA10,BQA10VVB-01,CB
352,WAM01,WAM01VB-01,CB
353,CNA10,CNA10VB-01,CB
354,PJA08,PJA08VB-01,CB
355,HKA04,HKA04VB-01,CB
356,NSB05,NSB05VB-01,CB
357,LBC04,LBC04VB-01,CB
358,NSU04,NSU04VB-01,CB
359,CNA07,CNA07VB-01,CB
360,NOB01,NOB01VB-01,CB
361,NSA03,NSA03VB-01,CB
362,WIR07,WIR07VB-01,CB
363,TCA01,TCA01VB-01,CB
364,NSA05,NSA05VB-01,CB
365,NSB01,NSB01CVB-01,CB
366,NSB01,NSB01VB-01,CB
367,NSU02,NSU02VB-01,CB
368,HKA06,HKA06VB-01,CB
369,SZA06,SZA06VB-01,CB
370,LOK01,LOK01VB-01,CB
371,NSA11,NSA11VB-01,CB
372,KBG03,KBG03VB-01,CB
373,BNA01,BNA01VB-00,CB
374,WAM02,WAM02VB-01,CB
375,TKB01,TKB01VB-01,CB
376,CON04,CON04VB-01,CB
377,IBU02,IBU02BR-01,CB
378,KSR08,KSR08VB-01,CB
379,MRA05,MRA05VB-01,CB
380,UAA04,UAA04VB-01,CB
381,NSA04,NSA04VB-01,CB
382,LAA06,LAA06VB-01,CB
383,PXA05,PXA05VB-01,CB
384,WIR05,WIR05VB-01,CB
385,CNA05,CNA05VB-01,CB
386,HKA03,HKA03VB-01,CB
387,LOK02,LOK02VB-01,CB
388,BQA06,BQA06VB-01,CB
389,PRI01,PRI01VB-01,CB
390,TKB05,TKB05VB-01,CB
391,LOK04,LOK04VB-01,CB
392,CDA06,CDA06VB-01,CB
393,CDA05,CDA05VB-01,CB
394,PXA09,PXA09VB-01,CB
395,NSA07,NSA07VB-01,CB
396,NOB04,NOB04VB-01,CB
397,SBA02,SBA02VR-01,CB
398,BQA07,BQA07VB-01,CB
399,PRI06,PRI06VB-01,CB
400,LAA05,LAA05VB-01,CB
401,CDB02,CDB02VB-01,CB
402,CDB02,T-WAM07VB-01,CB
403,PRI08,PRI08VB-01,CB
404,CDA03,CDA03VB-01,CB
405,PXA04,PXA04VB-01,CB
406,SBA10,SBA10VR-01,CB
407,NCH01,NCH01VB-01,CB
408,LOA05,LOA05VB-01,CB
409,DAA08,DAA08VB-00,CB
410,DAA08,DAA08VB-01,CB
411,PEA03,PEA03VB-01,CB
412,PXA02,PXA02VB-01,CB
413,LBB07,LBB07VB-01,CB
414,CNA04,CNA04VB-01,CB
415,BNA02,BNA02VB-01,CB
416,PXA01,PXA01VB-01,CB
417,PXA01,PJA03VB-01,CB
418,MRA04,MRA04VB-01,CB
419,NSA09,NSA09VB-01,CB
420,KSR10,KSR10VB-01,CB
421,TCA08,TCA08VB-01,CB
422,TKB03,TKB07VB-01,CB
423,TKB03,TKB03VB-01,CB
424,KSR05,KSR05VB-01,CB
425,PEA06,PEA06VB-01,CB
426,PKE06,PKE06VB-01,CB
427,NSB06,NSB06VB-01,CB
428,WIR02,WIR02VB-01,CB
429,LBC05,LBC05VB-01,CB
430,PRI02,PRI02VB-01,CB
431,TCA04,TCA04VB-01,CB
432,LOA06,LOA06VB-01,CB
433,CYA02,CYA02VB-01,CB
434,CDA01,CDA01VB-01,CB
435,DSA05,DSA05-02,CB
436,DSA05,DSA05VB-01,CB
437,PXA10,PXA10VB-01,CB
438,BSH10,BSH10VB-01,CB
439,KBG02,KBG02VB-01,CB
440,WIR01,WIR01VB-01,CB
441,LBA08,LBA08VR-01,CB
442,CNA08,CNA08VB-01,CB
443,PXA03,PXA03VB-01,CB
444,MRA02,MRA02VB-01,CB
445,KSR03,KSR03VB-01,CB
446,NCH05,NCH05VB-01,CB
447,CDB03,CDB03VB-01,CB
448,HKA10,HKA10VB-01,CB
449,WIR04,WIR04VB-01,CB
450,PEA07,PEA07VB-01,CB
451,KSR04,KSR04VB-01,CB
452,LBB05,LBB05VB-01,CB
453,PRI05,PRI05VB-01,CB
454,IBU05,IBU05BR-01,CB
455,LOK05,LOK05VB-01,CB
456,LBC03,LBC03VB-01,CB
457,LBB06,LBB06VB-01,CB
458,MRA07,MRA07VB-01,CB
459,PEA08,PEA08VB-01,CB
460,CNA06,CNA06VB-01,CB
461,CDB01,CDB01VB-01,CB
462,NCH07,NCH07VB-01,CB
463,HKA09,HKA09VB-01,CB
464,LBC01,LBC01VB-01,CB
465,LBA06,LBA06VR-01,CB
466,HKA01,HKA01VB-01,CB
467,BPI05,BPI05VB-01,CB
468,PXA06,PXA06VB-01,CB
469,HKA07,HKA07VB-01,CB
470,NOB02,NOB02VB-01,CB
471,TCA05,TCA05VB-01,CB
472,UAA07,UAA07VB-01,CB
473,NSU03,NSU03VB-01,CB
474,CON02,TPH01VB-01,CB
475,BSH08,BSH08VB-01,CB
476,TCA03,TCA03VB-01,CB
477,CDB04,CDB04VB-01,CB
478,LBA09,LBB03R-01,Recloser
479,LBA09,LBA09R-01,Recloser
480,LBA09,LBA09R-03,Recloser
481,LBA09,LBA09R-02,Recloser
482,LAA03,LAA03R-03,Recloser
483,LAA03,LAA03R-01,Recloser
484,LAA03,LAA03R-02,Recloser
485,LAA03,LAA06R-03,Recloser
486,LAA03,LAA03R-05,Recloser
487,LAA03,LAA03R-04,Recloser
488,LAA03,LAA03R-06,Recloser
489,LAA03,LAA03R-31,Recloser
490,NSB04,NSB04R-01,Recloser
491,SBA06,SBA06R-01,Recloser
492,IBU04,IBU04R-01,Recloser
493,IBU04,IBU04R-02,Recloser
494,CDA07,CDA07R-01,Recloser
495,CDA07,CDA07R-02,Recloser
496,PEA01,PEA01R-01,Recloser
497,NOB03,NOB03R-01,Recloser
498,LAA09,LAA09R-03,Recloser
499,LAA09,LAA09R-01,Recloser
500,LAA09,LAA09R-02,Recloser
501,LAA09,LAA09R-04,Recloser
502,KSR02,KSR02R-01,Recloser
503,BSH04,BSH04R-01,Recloser
504,SBA05,SBA05R-01,Recloser
505,SBA05,SBA05R-02,Recloser
506,CDB06,CDB06R-01,Recloser
507,CDB06,CDB06R-02,Recloser
508,CDB06,CDB06R-01/1,Recloser
509,LAA02,LAA02R-02,Recloser
510,LAA02,LAA02R-01,Recloser
511,NSB02,NSB02R-01,Recloser
512,CHA09,CHA09R-03,Recloser
513,PXA07,PXA07R-01,Recloser
514,UAA02,UAA02R-01,Recloser
515,UAA02,UAA02R-02/1,Recloser
516,UAA02,UAA02R-02,Recloser
517,UAA02,UAA02R-04,Recloser
518,PEA04,PEA04R-01,Recloser
519,BSH05,BSH07R-01,Recloser
520,HKA08,HKA08R-04,Recloser
521,HKA08,HKA08R-02,Recloser
522,HKA08,HKA08R-03,Recloser
523,TCA02,TCA02R-02,Recloser
524,TCA02,TCA02R-01,Recloser
525,NCH04,NCH04R-01,Recloser
526,NCH04,NCH04R-02,Recloser
527,LOA02,LOA02R-01,Recloser
528,LOA02,LOA02R-02,Recloser
529,CNA02,CNA02R-01,Recloser
530,KSR06,KSR06R-02,Recloser
531,KSR06,KSR06R-01,Recloser
532,BSH02,BSH02R-01,Recloser
533,LOA04,LOA04R-02,Recloser
534,LOA04,LOA04R-01,Recloser
535,LOA04,LOA04R-05,Recloser
536,LAA10,LAA10R-01,Recloser
537,NCH02,NCH02R-01,Recloser
538,CDA02,CDA09R-01,Recloser
539,TKB04,TKB02R-02,Recloser
540,TKB04,TKB02R-01,Recloser
541,TKB04,TKB04R-01,Recloser
542,TKB04,TKB04R-03,Recloser
543,TKB04,TKB04R-02,Recloser
544,NCH09,NCH09R-01,Recloser
545,NCH09,NCH09R-03,Recloser
546,NCH09,NCH09R-02,Recloser
547,UAA09,UAA09R-02,Recloser
548,UAA09,UAA09R-01,Recloser
549,UAA09,UAA09R-03,Recloser
550,NOB05,NOB05R-03,Recloser
551,NOB05,NOB05R-01,Recloser
552,NOB05,NOB05R-02/99,Recloser
553,WIR03,WIR03R-01,Recloser
554,WIR03,WIR03R-02,Recloser
555,UAA05,UAA05R-00,Recloser
556,UAA05,UAA05R-06,Recloser
557,UAA05,UAA05R-01,Recloser
558,UAA05,UAA05R-02,Recloser
559,UAA05,UAA05R-05,Recloser
560,UAA05,UAA05R-03,Recloser
561,KSR09,KSR09R-01,Recloser
562,KSR09,KSR09R-02,Recloser
563,KSR09,KSR09R-03,Recloser
564,UAA06,UAA06R-01,Recloser
565,CON05,CON05R-01,Recloser
566,CON05,PEA04R-09,Recloser
567,CON05,CON05R-02,Recloser
568,CON05,CON05R-03,Recloser
569,CNA03,CNA03R-01,Recloser
570,CNA03,CNA03R-02,Recloser
571,CNA03,CNA03R-03,Recloser
572,CDA04,CDA04R-01,Recloser
573,CDA04,CDA04R-03,Recloser
574,CDA04,CDA04R-02,Recloser
575,CDA04,CDA04R-02/1,Recloser
576,BSH03,BSH03R-01,Recloser
577,NSB10,NSB10R-01,Recloser
578,NSB10,NSB10R-02,Recloser
579,LAA08,LAA08R-01,Recloser
580,NCH06,NCH06R-01,Recloser
581,KSR07,KSR07R-04,Recloser
582,KSR07,KSR07R-03,Recloser
583,KSR07,KSR07R-02,Recloser
584,KSR07,KSR07R-01,Recloser
585,CNA01,CNA01R-01,Recloser
586,KBG04,KBG04R-02,Recloser
587,KBG04,KBG04R-03,Recloser
588,KBG04,KBG04R-02/1,Recloser
589,KBG04,KBG04R-01,Recloser
590,NSB08,NSB08R-03,Recloser
591,NSB08,NSB08R-02,Recloser
592,NSB08,NSB08R-01,Recloser
593,NSB03,NSB03R-01,Recloser
594,LAA04,LAA04R-01,Recloser
595,LAA04,LAA04R-03,Recloser
596,LAA04,LAA04R-02,Recloser
597,SBA08,SBA08R-01,Recloser
598,NCH03,NCH03R-02,Recloser
599,NCH03,NCH03R-03,Recloser
600,NCH03,NCH03R-04,Recloser
601,TCA06,TCA06R-01,Recloser
602,CDB07,CDB07R-01,Recloser
603,MRA01,MRA01R-02,Recloser
604,MRA01,MRA01R-01,Recloser
605,MRA01,MRA01R-03,Recloser
606,KBG01,KBG05R-01,Recloser
607,LOA01,PEU02R-01,Recloser
608,LOA01,PEU02R-02,Recloser
609,WIR08,WIR04R-03,Recloser
610,WIR08,WIR08R-01,Recloser
611,CON01,CON01R-02,Recloser
612,CON01,CON01R-01,Recloser
613,CON01,CON01R-03,Recloser
614,LBA03,LBA03R-01,Recloser
615,LOA03,LOA03R-01,Recloser
616,LOA03,LOA03R-03,Recloser
617,LOA03,LOA03R-02,Recloser
618,SBA04,SBA04R-01,Recloser
619,SBA04,SBA09R-01,Recloser
620,NSU04,NSU04R-01,Recloser
621,NOB01,NOB01R-03,Recloser
622,NOB01,NOB01R-02,Recloser
623,NOB01,NOB01R-01,Recloser
624,NSA03,NSA03R-01,Recloser
625,NSB01,NSB01R-01,Recloser
626,NSU02,NSU02R-01,Recloser
627,LOK01,LOK01R-01,Recloser
628,CON04,CON04R-02,Recloser
629,CON04,CON04R-01,Recloser
630,KSR08,KSR08R-01,Recloser
631,KSR08,KSR08R-02,Recloser
632,KSR08,KSR08R-03,Recloser
633,MRA05,MRA05R-01,Recloser
634,UAA04,UAA04R-01,Recloser
635,LAA06,LAA06R-01,Recloser
636,LAA06,LAA06R-04,Recloser
637,LAA06,LAA06R-05,Recloser
638,LAA06,LAA06R-06,Recloser
639,LAA06,LAA06R-02,Recloser
640,CNA05,CNA05R-01,Recloser
641,CNA05,CNA05R-02,Recloser
642,TKB05,TKB05R-02,Recloser
643,TKB05,TKB05R-03,Recloser
644,TKB05,TKB05R-05,Recloser
645,TKB05,TKB05R-04,Recloser
646,TKB05,TKB05R-01,Recloser
647,CDA06,CDA06R-01,Recloser
648,NOB04,NOB04R-02,Recloser
649,NOB04,NOB04R-01,Recloser
650,NOB04,NOB04R-03,Recloser
651,SBA02,SBA02R-01,Recloser
652,PRI06,PRI06R-01,Recloser
653,CDB02,CDB02R-03,Recloser
654,CDB02,CDB02R-02,Recloser
655,CDB02,CDB02R-04,Recloser
656,CDB02,CDB02R-01,Recloser
657,NCH01,NCH01R-04,Recloser
658,NCH01,NCH01R-01,Recloser
659,NCH01,NCH06R-03,Recloser
660,NCH01,NCH01R-03,Recloser
661,NCH01,NCH06R-04,Recloser
662,NCH01,NCH01R-02,Recloser
663,NCH01,NCH06R-02,Recloser
664,LOA05,LOA05R-01,Recloser
665,PXA02,PXA02R-01,Recloser
666,BNA02,BNA03R-03,Recloser
667,BNA02,BNA03R-04,Recloser
668,MRA04,MRA04R-02,Recloser
669,MRA04,MRA04R-03,Recloser
670,MRA04,MRA04R-01,Recloser
671,KSR10,KSR10R-01,Recloser
672,TKB03,TKB07R-01,Recloser
673,TKB03,TKB07R-02,Recloser
674,TKB03,TKB03R-01,Recloser
675,TKB03,TKB03R-02,Recloser
676,PEA06,PEA06R-01,Recloser
677,PEA06,PEA06R-02,Recloser
678,WIR02,WIR02R-03,Recloser
679,WIR02,WIR02R-02,Recloser
680,LOA06,LOA06R-01,Recloser
681,BSH10,BSH10R-01,Recloser
682,WIR01,WIR02R-04,Recloser
683,WIR01,WIR01R-01,Recloser
684,WIR01,WIR01R-02,Recloser
685,CNA08,CNA08R-01,Recloser
686,PXA03,PXA03R-01,Recloser
687,PXA03,PXA03R-02,Recloser
688,WIR04,WIR04R-02,Recloser
689,WIR04,WIR04R-01,Recloser
690,KSR04,KSR04R-01,Recloser
691,IBU05,IBU05R-01,Recloser
692,IBU05,IBU05R-02,Recloser
693,LOK05,LOK05R-01,Recloser
694,LOK05,CHA09R-04,Recloser
695,LOK05,LOK05R-02,Recloser
696,PEA08,PEA08R-01,Recloser
697,CNA06,CNA06R-01,Recloser
698,CDB01,CDB01R-01,Recloser
699,CDB01,CDB01R-02,Recloser
700,CDB01,CDB01R-03,Recloser
701,HKA01,HKA01R-01,Recloser
702,HKA07,HKA07R-01,Recloser
703,HKA07,HKA07R-02,Recloser
704,HKA07,HKA07R-03,Recloser
705,NOB02,NOB02R-02,Recloser
706,NOB02,NOB02R-01,Recloser
707,CON02,CON02R-01,Recloser
708,CON02,CON02R-02,Recloser
709,LBA09,-,Switch
710,LBA09,-,Switch
711,LBA09,LBA08F-05,Switch
712,LBA09,LBA09S-22,Switch
713,LBA09,LBA 00-00,Switch
714,LBA09,LBA06S-13,Switch
715,LBA09,-,Switch
716,LBA09,LBA08F-02,Switch
717,LBA09,LBA08F-12,Switch
718,LBA09,-,Switch
719,LBA09,LBA05S-33,Switch
720,LBA09,LBA05F-05,Switch
721,LBA09,LBA9F-00,Switch
722,LBA09,LBA09S-15,Switch
723,LBA09,LBB03S-04,Switch
724,LBA09,LBA09VS-02,Switch
725,LBA09,LBA09S-11,Switch
726,LBA09,-,Switch
727,LBA09,LBA08F-10,Switch
