,feeder,equipment,type
0,LBA09,LBA06C-02,SCB
1,LBA09,LBA08C-01,SCB
2,LBA09,99999C-99,SCB
3,LBA09,LBA05C-03,SCB
4,LAA03,LAA03C-01,SCB
5,LAA03,LAA03C-02,SCB
6,LBB01,LBA01C-01,SCB
7,LBB08,LBB01C-01,SCB
8,SBA06,SBA06C-01,SCB
9,SBA06,SBA06C-02,SCB
10,IBU04,SBA09C-02,SCB
11,IBU04,SBA01C-04,SCB
12,IBU04,IBU04C-01,SCB
13,CDA07,CDA07C-02,SCB
14,LBC02,LBC02C-01,SCB
15,NSA02,NSA02C-01,SCB
16,CDB05,CDA01C-01,SCB
17,PEA01,PEA07C-02,SCB
18,LBA05,99999C-99,SCB
19,LAA09,LAA02C-02,SCB
20,LAA09,LAA09C-03,SCB
21,LAA09,LAA02C-01,SCB
22,KSR02,KSR09C-02,SCB
23,SBA05,LBA05C-04,SCB
24,PXA08,PXA25C-88,SCB
25,PXA08,PXA25C-89,SCB
26,NSB02,NSB02C-01,SCB
27,NSB02,NSB02C-02,SCB
28,PEA02,PEA02C-01,SCB
29,PEA02,PEA08C-01,SCB
30,PEA02,PEA02C-02,SCB
31,CHA09,CHA09C-01,SCB
32,PXA07,PXA07C-01,SCB
33,PXA07,PXA07C-03,SCB
34,UAA02,UAA02C-01,SCB
35,LBB02,LBB02C-01,SCB
36,LBB02,LBB02C-02,SCB
37,LOA08,LOA08C-01,SCB
38,NSB07,NSB07C-02,SCB
39,NSB07,NSB07C-01,SCB
40,HKA08,HKA08C-02,SCB
41,HKA08,HKA08C-01,SCB
42,LOA02,LOA02C-01,SCB
43,LOA02,LOA02C-02,SCB
44,KSR06,KSR06C-01,SCB
45,KSR06,KSR06C-02,SCB
46,BSH02,BSH02C-01,SCB
47,UAA01,UAA10C-02,SCB
48,UAA01,UAA01C-01,SCB
49,NSU01,NSA02C-03,SCB
50,TKB04,TKB04C-01,SCB
51,TKB04,TKB04C-03,SCB
52,TKB04,99999C-99,SCB
53,TKB04,TKB04C-02,SCB
54,NCH09,NCH09C-00,SCB
