,index,feedername,complete,in_progress,total
0,1493,KKU06VB01,3,0,3
1,0,TAA05VB01,0,0,0
2,1667,UTA04VB01,1,1,2
3,0,BNA05VB01,0,0,0
4,0,UTA08VB01,0,0,0
5,1656,TPH05VB01,2,6,8
6,1535,NAA09VB01,5,0,5
7,1743,LAA03VB01,0,97,97
8,1655,TPH04VB01,11,20,31
9,1636,SWA02VB01,1,0,1
10,1480,DCA04VB01,3,0,3
11,0,PRA03VB01,0,0,0
12,1576,PLC04VB01,5,0,5
13,1653,TPH02VB01,8,10,18
14,1569,PLA09VB01,1,0,1
15,0,UTA07VB01,0,0,0
16,1686,WGT04VB01,0,1,1
17,1474,BNA08VB01,0,2,2
18,0,TSK01VB01,0,0,0
19,1538,NAB03VB01,2,1,3
20,1627,STA02VB01,2,0,2
21,1615,RKA09VB01,11,0,11
22,0,SWA08VB01,0,0,0
23,1692,WGT10VB01,12,2,14
24,1475,BNA09VB01,7,6,13
25,1598,PSN04VB01,1,0,1
26,1676,WBA04VB01,1,0,1
27,0,SWA05VB01,0,0,0
28,1485,DCA10VB01,1,0,1
29,1505,KPA09VB01,8,3,11
30,1650,TAA06VB01,0,2,2
31,0,MSU05VB01,0,0,0
32,1571,PLB03VB01,1,0,1
33,1630,STA05VB01,1,0,1
34,1483,DCA08VB01,4,1,5
35,1668,UTA05VB01,1,1,2
36,1665,TSK05VB01,1,6,7
37,1633,STA08VB01,5,0,5
38,1560,PKT03VB01,6,1,7
39,0,WBA05VB01,0,0,0
40,0,UTA09VB01,0,0,0
41,1595,PSN01VB01,3,0,3
42,1510,KPB03VB01,11,19,30
43,1679,WBT02VB01,1,0,1
44,0,NAA10VB01,0,0,0
45,1675,WBA03VB01,8,3,11
46,1684,WGT02VB01,1,1,2
47,1641,SZA03VB01,12,3,15
48,1527,MSA09VB01,3,0,3
49,0,NAA03VB01,0,0,0
50,0,PLA04VB01,0,0,0
51,1651,TAA07VB01,0,3,3
52,0,SKA01VB01,0,0,0
53,0,PLA05VB01,0,0,0
54,0,NAB06VB01,0,0,0
55,1674,WBA02VB01,4,0,4
56,1597,PSN03VB01,6,3,9
57,1616,RKA10VB01,2,0,2
58,1498,KPA01VB01,25,1,26
59,1647,TAA02VB01,19,0,19
60,1601,PUU04VB01,1,0,1
61,1622,SSL04VB01,1,8,9
62,1596,PSN02VB01,10,0,10
63,0,NAA02VB01,0,0,0
64,1639,SWA07VB01,8,0,8
65,1581,PLC09VB01,2,0,2
66,0,TAA10VB01,0,0,0
67,1635,STA10VB01,16,5,21
68,1568,PLA07VB01,1,0,1
69,1508,KPB01VB01,11,2,13
70,0,WGT01VB01,0,0,0
71,1526,MSA08VB01,43,0,43
72,1531,MSU01VB01,0,1,1
73,0,PPH01VB01,0,0,0
74,0,PIH07VB01,0,0,0
75,0,PLT03VB01,0,0,0
76,1599,PUU02VB01,5,1,6
77,1643,SZA05VB01,19,0,19
78,1637,SWA04VB01,3,0,3
79,1471,BNA04VB01,17,2,19
80,1585,PLT02VB01,1,0,1
81,1502,KPA06VB01,4,3,7
82,1523,MSA05VB01,11,0,11
83,1605,PUU08VB01,4,1,5
84,1519,MSA01VB01,9,0,9
85,1479,DCA03VB01,1,0,1
86,1591,PRA07VB01,1,0,1
87,1680,WBT03VB01,3,0,3
88,1566,PLA03VB01,3,1,4
89,1536,NAB01VB01,3,3,6
90,0,TSK02VB01,0,0,0
91,0,PUU01VB01,0,0,0
92,1478,DCA02VB01,2,1,3
93,0,AKR03VB01,0,0,0
94,1681,WBT04VB01,8,0,8
95,0,PRA09VB01,0,0,0
96,1559,PKT01VB01,3,3,6
97,0,TAA09VB01,0,0,0
98,1603,PUU06VB01,2,0,2
99,1551,PIA07VB01,1,0,1
100,1520,MSA02VB01,6,0,6
101,1582,PLC10VB01,1,0,1
102,1628,STA03VB01,37,1,38
103,1661,TPH10VB01,7,0,7
104,1552,PIA08VB01,11,9,20
105,1572,PLB04VB01,2,0,2
106,1476,BNA10VB01,2,0,2
107,0,BNA03VB01,0,0,0
108,1685,WGT03VB01,35,8,43
109,1570,PLB02VB01,12,0,12
110,1564,PLA01VB01,1,2,3
111,1544,NAT05VB01,3,0,3
112,1666,UTA03VB01,1,0,1
113,1534,NAA08VB01,24,0,24
114,1567,PLA06VB01,4,0,4
115,1500,KPA04VB01,2,0,2
116,0,KKU10VB01,0,0,0
117,0,PRA02VB01,0,0,0
118,1482,DCA06VB01,1,0,1
119,1562,PKT05VB01,0,1,1
120,0,DCA07VB01,0,0,0
121,1682,WBT05VB01,1,0,1
122,1654,TPH03VB01,6,1,7
123,1611,RKA03VB01,9,0,9
124,1553,PIA09VB01,3,1,4
125,0,MSA12VB01,0,0,0
126,0,PPH04VB01,0,0,0
127,1495,KKU09VB01,10,0,10
128,1657,TPH06VB01,18,0,18
129,1556,PIH04VB01,0,0,0
130,1670,UTA10VB01,0,5,5
131,0,SZA02VB01,0,0,0
132,1645,SZA07VB01,6,2,8
133,1664,TSK04VB01,0,3,3
134,1554,PIA10VB01,0,3,3
135,1541,NAT02VB01,11,0,11
136,1513,LKA01VB01,8,1,9
137,1593,PRA10VB01,1,2,3
138,0,PIA02VB01,0,0,0
139,1623,SSL05VB01,0,1,1
140,1646,SZA08VB01,7,7,14
141,1516,LKA04VB01,2,0,2
142,0,UTA02VB01,0,0,0
143,1522,MSA04VB01,14,0,14
144,0,MSU03VB01,0,0,0
145,0,PIH10VB01,0,0,0
146,1533,NAA04VB01,1,0,1
147,1506,KPA10VB01,4,1,5
148,1543,NAT04VB01,5,1,6
149,1473,BNA07VB01,3,0,3
150,1512,KPB05VB01,14,12,26
151,1609,RKA01VB01,1,1,2
152,1612,RKA05VB01,7,0,7
153,1690,WGT08VB01,30,6,36
154,1606,PUU09VB01,3,0,3
155,0,PLC03VB01,0,0,0
156,0,BHA01VB01,0,0,0
157,1548,PIA04VB01,4,0,4
158,1631,STA06VB01,19,25,44
159,0,PLB01VB01,0,0,0
160,1673,WBA01VB01,22,2,24
161,1490,KKU03VB01,2,0,2
162,1691,WGT09VB01,17,2,19
163,1642,SZA04VB01,9,8,17
164,1660,TPH09VB01,0,9,9
165,1488,KKU01VB01,4,1,5
166,0,TAA08VB01,0,0,0
167,1481,DCA05VB01,2,0,2
168,0,KKU08VB01,0,0,0
169,1669,UTA06VB01,0,1,1
170,0,PIH09VB01,0,0,0
171,1504,KPA08VB01,8,2,10
172,1501,KPA05VB01,28,10,38
173,1549,PIA05VB01,14,2,16
174,0,SKA03VB01,0,0,0
175,0,MSA11VB01,0,0,0
176,1688,WGT06VB01,1,0,1
177,1592,PRA08VB01,0,2,2
178,1663,TSK03VB01,0,1,1
179,0,PSN05VB01,0,0,0
180,0,PLT01VB01,0,0,0
181,1557,PIH08VB01,1,0,1
182,0,RKA08VB01,0,0,0
183,0,NAB04VB01,0,0,0
184,1542,NAT03VB01,3,1,4
185,1540,NAT01VB01,0,1,1
186,0,NAA01VB01,0,0,0
187,1614,RKA07VB01,14,0,14
188,1629,STA04VB01,7,4,11
189,1613,RKA06VB01,4,0,4
190,0,LKA05VB01,0,0,0
191,0,AKR02VB01,0,0,0
192,0,PIH02VB01,0,0,0
193,1644,SZA06VB01,1,0,1
194,1626,STA01VB01,3,0,3
195,1574,PLC01VB01,0,1,1
196,1511,KPB04VB01,2,0,2
197,0,PIA01VB01,0,0,0
198,3318,BNA01VB01,4,0,4
199,0,SSL02VB01,0,0,0
200,1578,PLC06VB01,1,0,1
201,0,PPH03VB01,0,0,0
202,1521,MSA03VB01,14,3,17
203,0,NAA06VB01,0,0,0
204,1472,BNA06VB01,1,0,1
205,0,PKT02VB01,0,0,0
206,1514,LKA02VB01,4,0,4
207,1528,MSA10VB01,1,0,1
208,0,TPH01VB01,0,0,0
209,0,SSL03VB01,0,0,0
210,1503,KPA07VB01,9,3,12
211,1658,TPH07VB01,16,0,16
212,0,PRA01VB01,0,0,0
213,0,HTA01VB01,0,0,0
214,1638,SWA06VB01,12,0,12
215,1588,PRA04VB01,1,1,2
216,1537,NAB02VB01,0,0,0
217,0,SWA01VB01,0,0,0
218,0,BHA02VB01,0,0,0
219,0,SWA03VB01,0,0,0
220,0,SKA02VB01,0,0,0
221,1580,PLC08VB01,4,0,4
222,1575,PLC02VB01,3,0,3
223,1590,PRA06VB01,1,2,3
224,1494,KKU07VB01,5,1,6
225,1565,PLA02VB01,1,0,1
226,0,PIH05VB01,0,0,0
227,1689,WGT07VB01,1,0,1
228,1484,DCA09VB01,5,0,5
229,1640,SZA01VB01,2,1,3
230,1470,BNA02VB01,2,0,2
231,1586,PLT04VB01,4,0,4
232,1610,RKA02VB01,23,3,26
233,1499,KPA02VB01,11,3,14
234,1477,DCA01VB01,1,0,1
235,0,MSU04VB01,0,0,0
236,0,PIH03VB01,0,0,0
237,1577,PLC05VB01,11,0,11
238,1547,PIA03VB01,12,1,13
239,1589,PRA05VB01,0,1,1
240,0,UTA01VB01,0,0,0
241,0,PPH02VB01,0,0,0
242,0,AKR01VB01,0,0,0
243,1579,PLC07VB01,0,1,1
244,1491,KKU04VB01,3,0,3
245,1489,KKU02VB01,1,0,1
246,1573,PLB05VB01,1,0,1
247,0,PLA10VB01,0,0,0
248,0,PIH01VB01,0,0,0
249,1509,KPB02VB01,2,0,2
250,0,NAA05VB01,0,0,0
251,0,SKA04VB01,0,0,0
252,0,NAA07VB01,0,0,0
253,1678,WBT01VB01,10,0,10
254,0,PPH05VB01,0,0,0
255,1604,PUU07VB01,6,0,6
256,0,KPA03VB01,0,0,0
257,1524,MSA06VB01,39,0,39
258,0,RKA04VB01,0,0,0
259,1515,LKA03VB01,14,0,14
260,1600,PUU03VB01,1,1,2
261,1659,TPH08VB01,10,4,14
262,0,BHA03VB01,0,0,0
263,1632,STA07VB01,10,0,10
264,0,BHA04VB01,0,0,0
265,1525,MSA07VB01,9,0,9
266,0,PLA08VB01,0,0,0
267,1634,STA09VB01,13,0,13
268,0,TAA01VB01,0,0,0
269,0,PIH06VB01,0,0,0
270,1550,PIA06VB01,3,0,3
271,1648,TAA03VB01,5,0,5
272,0,NAB05VB01,0,0,0
273,1621,SSL01VB01,2,0,2
274,1687,WGT05VB01,1,1,2
275,1532,MSU02VB01,4,0,4
276,1607,PUU10VB01,3,3,6
277,1561,PKT04VB01,5,0,5
278,1492,KKU05VB01,6,10,16
279,1649,TAA04VB01,3,0,3
280,0,PKT06VB01,0,0,0
