,feeder,equipment,type
0,HCA05,HCA05VC-102,SCB
1,HCA05,HCA05VC-101,SCB
2,CMA08,CMA01C-01,SCB
3,LPA10,LPA10C-10,SCB
4,LPA10,LPA10VC-102,SCB
5,LPA10,LPA10VC-101,SCB
6,FAA01,FAA01VC-101,SCB
7,FAA01,FAA01C-04/1,SCB
8,FAA01,FAA01C-04,SCB
9,FAA01,FAA01C-10,SCB
10,SGA08,CMC06VC-102,SCB
11,SGA08,CMC06VC-101,SCB
12,SGA08,SGA08VC-103,SCB
13,LPA02,LPA02C-01,SCB
14,DKA02,DKA02C-02,SCB
15,MHA01,MHA01C-01,SCB
16,MHA01,MHA0V1C-102,SCB
17,MHA01,MAA05C-01,SCB
18,SGA04,CMC08VC-103,SCB
19,SGA04,CMC08VC-104,SCB
20,CRA10,CRA10C-02/1,SCB
21,CRA10,CRA10C-01,SCB
22,CRA10,CRA10C-03,SCB
23,CRA10,CRA10C-03/1,SCB
24,CRA10,CRA10C-02,SCB
25,LPA07,LPA07C-02,SCB
26,LPA07,LPA07C-01,SCB
27,CRB02,CRB02VC-101,SCB
28,CRA01,CRA07C-001,SCB
29,CMC02,CMC02C-02,SCB
30,CMC02,CMC02VC-102,SCB
31,CRB03,CRB03VC-101,SCB
32,CRB03,CRB03VC-102,SCB
33,PAS04,LNC5C-901,SCB
34,PAS04,PAS04VC-101,SCB
35,PAS04,XXX  C-12,SCB
36,CRA03,CRA03C-01,SCB
37,LNB03,SKP09C-01,SCB
38,WPA03,WPA03C-01,SCB
39,WPA03,99999C-99,SCB
40,MRM04,MRM04C-03,SCB
41,MRM04,MRM04C-01/1,SCB
42,MRM04,MRM04C-04,SCB
43,MRM04,MRM04C-02,SCB
44,MCA03,MCA03C-01,SCB
45,LPC01,LPC01VC-101,SCB
46,LPC01,LPC01C-01,SCB
47,LPC01,LPC01C-02,SCB
48,LPC01,LPC01C-05,SCB
49,TNG08,TNG08C-01,SCB
50,PYB05,PYA05C-01,SCB
51,PAN05,PAN05C-03,SCB
52,CDO04,CDO04C-01,SCB
53,TNG02,TNG02C-01,SCB
54,TNG02,TNG02C-02,SCB
55,CEA02,CEA02C-01,SCB
56,PYA08,PYA08C-02,SCB
57,PYA08,PYA08C-01/1,SCB
58,PYA08,PYA08C-01,SCB
59,SKP04,SKP04C-01/1,SCB
60,SKP04,SKP04C-01,SCB
61,PYA03,PYA03C-01,SCB
62,PYA03,PYA03C-02,SCB
63,CMB09,CMB09C-02,SCB
64,CMB09,CMB09C-01,SCB
65,CMB09,CMB09C-03,SCB
66,CMB09,MRM09C-02,SCB
67,CMF05,CMF05C-01,SCB
68,CEA05,BGA02C-05,SCB
69,CEA05,BGA02C-04,SCB
70,CEA05,BGA02C-03,SCB
71,CMA04,CMA04C-01,SCB
72,CMA04,CMC05C-01,SCB
73,PAN04,PAN04C-01,SCB
74,PAN04,PAN04C-02,SCB
75,LNA05,LNA05C-01,SCB
76,SKP05,SKP05C-01,SCB
77,SKP05,SKP05VC-102,SCB
78,SKP05,SKP05C-03,SCB
79,SGA07,CMC08VC-102,SCB
80,MEA03,MEA03VC-101,SCB
81,MRM02,MRM02VC-104,SCB
82,MRM02,MRM02VC-102,SCB
83,MRM02,MRM02VC-103,SCB
84,MRM02,MRM02C-10,SCB
85,DKA04,DKA04VC-102,SCB
86,DKA04,DKA04VC-101,SCB
87,DKA04,DKA05VC-101,SCB
88,SKP10,SKP10C-04,SCB
89,SKP10,SKP10C-01,SCB
90,SKP10,SKP10C-02,SCB
91,MCA05,MCA05C-01,SCB
92,CMA10,CMF01C-01,SCB
93,LNA01,LNA01VC-101,SCB
94,CRB06,CRB06C-101,SCB
95,PAN01,PAN01C-02,SCB
96,PAN01,PAN01C-01,SCB
97,PAN01,PYA07C-02,SCB
98,CUN07,CUN02C-01,SCB
99,CKN04,CKN01C-01,SCB
100,MCA01,MCA01C-01,SCB
101,MHA06,MHA11C-01,SCB
102,CMA02,CMA09C-02,SCB
103,CMA02,CMA03C-02,SCB
104,FAA03,FAA03C-01/1,SCB
105,FAA03,FAA03C-01,SCB
106,CRA06,CRA06C-01,SCB
107,SGA06,CMC10C-01,SCB
108,SGA06,CMC10VC-102,SCB
109,PYB03,PYA04C-01,SCB
110,PYB03,PYA04C-03,SCB
111,CHM03,LPC03C-03,SCB
112,MEA05,MEA05C-01,SCB
113,LPB05,LPB05C-02,SCB
114,LPB05,LPB06C-01/2,SCB
115,PAS02,PAS04VC-102,SCB
116,LNB08,LNB8CF-102,SCB
117,LNB08,LNB03VC-103,SCB
118,CRA02,MLA02C-03,SCB
119,MRM09,MRM09C-02/1,SCB
120,MRM09,MRM04C-01,SCB
121,PAU05,MTA01C-02,SCB
122,BGA01,BGA02C-02,SCB
123,LPB02,LPB02C-01,SCB
124,MEA10,MEA10C-01,SCB
125,CEA03,BGA04C-01,SCB
126,CEA03,BGA04C-03,SCB
127,CMC04,CME03C-01,SCB
128,CMB02,CMD05C-01,SCB
129,MLA01,CRA01C-01,SCB
130,MLA07,MLA07C-01,SCB
131,CEA04,CEA04C-01,SCB
132,CMD03,CMD03C-01,SCB
133,PYB02,PYA01C-02,SCB
134,CDO01,CDO01C-01,SCB
135,CDO01,99999C-99,SCB
136,LPA01,LPA01C-01,SCB
137,LPA01,LPA01C-03,SCB
