,index,feedername,complete,in_progress,total
171,1299,CRA01VB01,16,0,16
172,0,MTA03VB01,0,0,0
173,1363,LNB03VB01,1,0,1
174,1305,CRA10VB01,4,0,4
175,0,MAA02VB01,0,0,0
176,1409,MHA02VB01,7,7,14
177,0,LNB04VB01,0,0,0
178,1208,WPA02VB01,1,0,1
179,1438,NIU03VB01,2,0,2
180,0,MHA10VB01,0,0,0
181,0,BGA03VB01,0,0,0
182,0,PYB01VB01,0,0,0
183,1205,TNG09VB01,19,1,20
184,0,LPA01VB01,0,0,0
185,1325,DKA02VB01,37,0,37
186,3123,SGA04VB01,5,3,8
187,1348,HOA10VB01,56,80,136
188,1417,MLA02VB01,8,0,8
189,1217,CDO01VB01,4,0,4
190,1408,MHA01VB01,35,140,175
191,0,MLA04VB01,0,0,0
192,1246,CMB05VB01,36,19,55
193,1434,NIA01VB01,0,4,4
194,1312,CRB07VB01,9,0,9
195,1428,MRM08VB01,0,9,9
196,1241,CMA10VB01,0,32,32
197,1272,CMD04VB01,31,11,42
198,1302,CRA05VB01,1,3,4
199,1212,WPA08VB01,6,3,9
200,0,CSA04VB01,0,0,0
201,1310,CRB04VB01,5,0,5
202,0,NIC05VB01,0,0,0
203,1385,LPB07VB01,33,4,37
204,1245,CMB04VB01,63,3,66
205,1295,CMV04VB01,4,2,6
206,0,BGA04VB01,0,0,0
207,1202,TNG05VB01,10,1,11
208,1423,MRM03VB01,0,15,15
209,1242,CMB01VB01,50,34,84
210,1426,MRM06VB01,19,57,76
211,0,HOA04VB01,0,0,0
212,1378,LPA09VB01,0,11,11
213,1283,CMF02VB01,22,6,28
214,0,LPC05VB01,0,0,0
215,1288,CMU01VB01,0,4,4
216,1259,CMC06VB01,6,48,54
217,1204,TNG08VB01,14,7,21
218,1453,PYA02VB01,36,0,36
219,0,XSU01VB01,0,0,0
220,1195,SKP08VB01,19,0,19
221,1364,LNB05VB01,2,0,2
222,1319,CSA09VB01,0,3,3
223,1228,CHM02VB01,6,2,8
224,0,MLA08VB01,0,0,0
225,1367,LNB10VB01,1,0,1
226,0,CMU03VB01,0,0,0
227,0,TNG03VB01,0,0,0
228,3120,SGA01VB01,34,12,46
229,1391,MCA03VB01,1,0,1
230,1330,DKA10VB01,15,0,15
231,1422,MRM02VB01,32,59,91
232,1446,PAS04VB01,2,0,2
233,1373,LNC10VB01,0,3,3
234,1262,CMC10VB01,1,0,1
235,1276,CMD08VB01,23,24,47
236,1388,LPC03VB01,0,19,19
237,0,LPB01VB01,0,0,0
238,3121,SGA02VB01,1,0,1
239,1429,MRM09VB01,9,11,20
240,1324,CUN06VB01,0,1,1
241,0,LNC07VB01,0,0,0
242,1359,LNA04VB01,4,0,4
243,1322,CUN03VB01,1,0,1
244,1206,TNG10VB01,10,1,11
245,1200,TNG01VB01,11,4,15
246,1300,CRA03VB01,11,2,13
247,1248,CMB07VB01,14,5,19
248,1223,CEA03VB01,1,0,1
249,1393,MCA05VB01,2,0,2
250,1289,CMU02VB01,62,8,70
251,0,FAA05VB01,0,0,0
252,1352,LIA03VB01,11,0,11
253,1398,MEA01VB01,14,0,14
254,1251,CMB10VB01,47,7,54
255,1191,SKP03VB01,8,8,16
256,0,NIA07VB01,0,0,0
257,0,NIU04VB01,0,0,0
258,1412,MHA06VB01,9,11,20
259,0,PAN07VB01,0,0,0
260,1383,LPB05VB01,0,58,58
261,0,DKA07VB01,0,0,0
262,1254,CMC01VB01,4,3,7
263,1311,CRB05VB01,2,0,2
264,1296,CMV05VB01,4,4,8
265,1323,CUN04VB01,3,0,3
266,0,HOA03VB01,0,0,0
267,1394,MCA06VB01,2,0,2
268,0,TEA06VB01,0,0,0
269,0,TEA04VB01,0,0,0
270,1416,MLA01VB01,4,0,4
271,0,HOA12VB01,0,0,0
272,0,CRB06VB01,0,0,0
273,0,PAS03VB01,0,0,0
274,0,MLA07VB01,0,0,0
275,1230,CKN01VB01,8,1,9
276,1457,PYA06VB01,24,25,49
277,3122,SGA03VB01,83,10,93
278,1344,HCA05VB01,6,0,6
279,0,LPC04VB01,0,0,0
280,0,MEA06VB01,0,0,0
281,0,PAN10VB01,0,0,0
282,1269,CMD01VB01,16,10,26
283,0,LNC05VB01,0,0,0
284,1425,MRM05VB01,29,9,38
285,1199,TEA01VB01,6,3,9
286,0,NIA10VB01,0,0,0
287,0,CEA08VB01,0,0,0
288,1405,MEA09VB01,1,0,1
289,1222,CEA02VB01,6,2,8
290,0,CME03VB01,0,0,0
291,1360,LNA05VB01,6,0,6
292,0,CKN02VB01,0,0,0
293,1219,CDO03VB01,4,0,4
294,0,CRB03VB01,0,0,0
295,1384,LPB06VB01,14,6,20
296,0,MTA02VB01,0,0,0
297,1370,LNC03VB01,0,20,20
298,1400,MEA03VB01,12,0,12
299,1374,LPA03VB01,0,11,11
300,0,BGA01VB01,0,0,0
301,0,XSU02VB01,0,0,0
302,0,NIC04VB01,0,0,0
303,1356,LNA01VB01,2,9,11
304,1282,CMF01VB01,3,6,9
